LayerName,LayerType,Theoretical Flops,flop_count_sp
convolution,Conv,598081536,2830090752
batchnorm,BatchNorm,44302336,132972544
activation,Relu,44302336,44302336
pooling,Pooling,22151168,5537792
convolution1,Conv,1594884096,3139585024
batchnorm1,BatchNorm,22151168,66584576
activation1,Relu,22151168,22151168
pooling1,Pooling,11075584,2768896
convolution2,Conv,1594884096,3073591296
batchnorm2,BatchNorm,11075584,33488896
activation2,Relu,11075584,11075584
pooling2,Pooling,5537792,1384448
convolution3,Conv,1594884096,2956398592
batchnorm3,BatchNorm,5537792,17137664
activation3,Relu,5537792,5537792
pooling3,Pooling,2768896,692224
convolution4,Conv,1594884096,2719088640
batchnorm4,BatchNorm,2768896,8830976
activation4,Relu,2768896,2768896
pooling4,Pooling,1384448,346112
convolution5,Conv,1594884096,2340917248
batchnorm5,BatchNorm,1384448,4415488
activation5,Relu,1384448,1384448
pooling5,Pooling,2359296,589824
convolution6,Conv,5435817984,7550566400
batchnorm6,BatchNorm,2359296,7602176
activation6,Relu,2359296,2359296
convolution7,Conv,10871635968,4339559862
batchnorm7,BatchNorm,2359296,7602176
activation7,Relu,2359296,2359296
convolution8,Conv,147456000,302133888
convolution8,Conv,147456000,576000
